dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99
-0.04946196,0.082554534,0.22022745,-0.030216767,0.06620396,0.19044569,-0.08834123,-0.13578571,-0.06300917,0.031839438,-0.017738217,-0.047782734,-0.038586844,-0.02637075,-0.11727908,-0.09891581,-0.14525321,-0.15845829,0.0010194809,-0.005160309,-0.0019237066,0.06895669,0.21386315,0.12412129,-0.0074330894,0.03965803,0.02539356,-0.076430924,-0.075558715,0.04087773,-0.04906888,-0.037390012,0.04473941,0.0872086,-0.10887925,-0.07621696,-0.080059394,0.11300973,-0.20218468,0.0072028534,-0.011647678,-0.083309084,0.0019592652,0.14907232,0.12081017,-0.1720515,0.17678441,0.014190647,0.016225442,0.018396283,-0.11940067,-0.046882212,-0.120606564,0.060305744,-0.053597983,0.03169957,-0.088052884,0.2148415,0.15862578,0.17380846,0.057996392,-0.038704935,-0.008397691,0.052849572,-0.0764946,0.07516507,-0.0047180513,0.010923699,-0.19508882,0.011958177,0.0030289323,0.008328174,0.23496394,-0.03424318,0.09537797,-0.06121565,-0.012929716,0.014198248,0.08767928,0.10910494,0.021247078,-0.1342218,0.07280854,0.012170865,-0.13089788,0.19732207,0.05771303,0.010012204,-0.045081705,-0.036719996,0.12578079,0.1268064,-0.07899549,-0.16494484,0.19980454,-0.004968118,-0.08771945,-0.045870416,-0.075882286,-0.11899474
-0.048901554,0.08257399,0.2200267,-0.029088313,0.066411994,0.19052345,-0.088199966,-0.13472489,-0.06321882,0.030486558,-0.01885573,-0.04875157,-0.037389737,-0.026097434,-0.11720759,-0.100419626,-0.1441741,-0.15868461,0.0011375438,-0.0046018246,-0.0026437577,0.068666175,0.21390893,0.12570086,-0.008365961,0.03976287,0.024899699,-0.07658773,-0.075775266,0.0400275,-0.049664628,-0.03708447,0.04362548,0.08681068,-0.10814505,-0.07691649,-0.08024535,0.11315881,-0.20217998,0.008703751,-0.011265408,-0.08346529,0.0016085138,0.1487763,0.11985991,-0.17329708,0.17727643,0.014347573,0.017346535,0.018275421,-0.119256064,-0.046497006,-0.12078681,0.05954758,-0.052302364,0.03152032,-0.08908856,0.21614976,0.15898296,0.17368887,0.057774927,-0.03792958,-0.007458025,0.0527508,-0.076395534,0.07532364,-0.0032482215,0.010278451,-0.19430104,0.011018369,0.0034260373,0.007932105,0.23376869,-0.03387224,0.09475214,-0.06195735,-0.013635255,0.014404792,0.08678276,0.10940497,0.021527538,-0.13441594,0.07442583,0.012568526,-0.13128915,0.19785595,0.05755088,0.010445316,-0.044451408,-0.036354262,0.12621708,0.12582129,-0.07929352,-0.16254853,0.19887243,-0.005503647,-0.08813045,-0.04641181,-0.075390674,-0.11953728
-0.048823137,0.08241417,0.21976756,-0.029861212,0.06578254,0.1906952,-0.08798266,-0.13501918,-0.0632386,0.031646997,-0.018695198,-0.048243336,-0.038070608,-0.026458988,-0.11704879,-0.1000521,-0.144956,-0.15883496,0.0017096079,-0.0043201647,-0.0024290972,0.06853109,0.21380733,0.12538984,-0.007482394,0.039650187,0.025014943,-0.076321125,-0.07579429,0.04085936,-0.049741376,-0.036528025,0.04434146,0.08600145,-0.10849784,-0.07638231,-0.08000902,0.11253709,-0.20210603,0.0073322873,-0.010901551,-0.08288747,0.0013234409,0.1487133,0.11931647,-0.17289342,0.17776392,0.014425956,0.017008647,0.01861712,-0.118554235,-0.04735562,-0.12091525,0.059469555,-0.0532244,0.03125446,-0.08931497,0.215032,0.15845984,0.17356646,0.0576434,-0.038471904,-0.0077650817,0.05230525,-0.077187486,0.07530685,-0.0048991027,0.010508609,-0.19480573,0.010360115,0.0024911375,0.006978908,0.2351439,-0.033993665,0.09546322,-0.062040057,-0.013224331,0.013318704,0.086486295,0.109739065,0.02147256,-0.13442321,0.0738941,0.01296013,-0.13140516,0.1984452,0.057488475,0.0104817115,-0.04462653,-0.03639201,0.12559637,0.12682602,-0.07950801,-0.16412273,0.19943799,-0.0049279425,-0.08701873,-0.045169488,-0.07529503,-0.11980499
-0.048847686,0.08180869,0.22002375,-0.029855741,0.06604004,0.19050144,-0.0875506,-0.13557301,-0.063154474,0.03125814,-0.018863035,-0.047887262,-0.038216244,-0.02638415,-0.11659503,-0.099861585,-0.14511947,-0.15811041,0.0016728436,-0.0042640823,-0.002073715,0.068653375,0.21401651,0.12508646,-0.008274179,0.04009649,0.025265938,-0.07655263,-0.07623639,0.040945012,-0.050143942,-0.03678041,0.04521733,0.08626885,-0.108966395,-0.076844506,-0.079525754,0.11231266,-0.20199221,0.00785428,-0.011444382,-0.08315539,0.0016265349,0.1488712,0.12021202,-0.17273515,0.17746298,0.014276654,0.017005758,0.01919323,-0.11953453,-0.046734106,-0.12055901,0.059798993,-0.052892897,0.03170456,-0.088967994,0.21548861,0.15904723,0.17378187,0.057488035,-0.03863449,-0.008387649,0.052218873,-0.07665572,0.07556624,-0.003600986,0.010598761,-0.1954048,0.010621345,0.00288042,0.008046204,0.23482722,-0.03372496,0.09546506,-0.061796382,-0.013376264,0.013430862,0.086368464,0.10868566,0.020891152,-0.13422203,0.073772065,0.013080001,-0.13117643,0.19791597,0.05701164,0.010459198,-0.044392336,-0.036174674,0.12649976,0.12612228,-0.079517104,-0.16385846,0.19962145,-0.0055479817,-0.087847814,-0.045719996,-0.075731605,-0.11920249
-0.04944957,0.08295722,0.22077109,-0.028859153,0.06522621,0.19203176,-0.08818251,-0.13579921,-0.06256198,0.03111738,-0.017485457,-0.04884604,-0.037005857,-0.02577517,-0.117410585,-0.099172905,-0.14490688,-0.15872617,0.0006720484,-0.0044687614,-0.0024843547,0.068712644,0.21461901,0.12500985,-0.00724308,0.040284272,0.024957515,-0.076722875,-0.07618882,0.04128932,-0.048868544,-0.03610505,0.044720676,0.08633282,-0.10856752,-0.07730078,-0.07909683,0.11200129,-0.20149924,0.0074870726,-0.011649646,-0.08281436,0.0014680381,0.1486507,0.1205818,-0.1720145,0.17719415,0.014588202,0.0192642,0.018958714,-0.11901429,-0.047120623,-0.12042778,0.06010387,-0.053843275,0.03318486,-0.088611014,0.21533078,0.15902962,0.17335795,0.05883131,-0.038414206,-0.007993299,0.052732285,-0.07709948,0.075971484,-0.0028400868,0.010817622,-0.19525711,0.012142952,0.0030681293,0.0077805975,0.23459062,-0.033276226,0.09524376,-0.06312178,-0.012624466,0.014149896,0.08680064,0.11015565,0.019532127,-0.13420142,0.07440807,0.013056459,-0.13094456,0.19639732,0.05773736,0.009201669,-0.044954933,-0.034988806,0.12713152,0.1253578,-0.078087755,-0.16416152,0.19842777,-0.005825897,-0.086890616,-0.044897605,-0.07579002,-0.11876758
-0.0484335,0.08251071,0.22029889,-0.029241072,0.06552688,0.19133784,-0.08863603,-0.1361532,-0.06284574,0.031119764,-0.018829105,-0.048244644,-0.038396787,-0.026618654,-0.11688515,-0.09930735,-0.14456807,-0.15864399,0.0015924168,-0.0054475935,-0.001968108,0.0694105,0.21393242,0.124390505,-0.008097411,0.039798353,0.024933793,-0.07644294,-0.07547625,0.041377813,-0.04899896,-0.03676235,0.04445848,0.08547398,-0.1083284,-0.077358976,-0.0803368,0.112532325,-0.20235516,0.0073664663,-0.010660405,-0.08224298,0.002156894,0.14871824,0.11986861,-0.17291652,0.17695953,0.014473102,0.017231382,0.018861504,-0.11922264,-0.04631498,-0.12106439,0.059860807,-0.05268293,0.031361584,-0.088990174,0.21555626,0.15967433,0.17404135,0.057519488,-0.03940958,-0.0073992037,0.051802617,-0.07672167,0.0765411,-0.0035579638,0.010070013,-0.19371402,0.010785245,0.0032200397,0.008408903,0.2350209,-0.03326425,0.09588967,-0.0626212,-0.01302673,0.01334238,0.086722925,0.10876135,0.02044384,-0.13432868,0.072328284,0.013263784,-0.13136628,0.19832328,0.057704,0.009589402,-0.044436857,-0.03636947,0.12615214,0.12596984,-0.08034606,-0.16313365,0.19937783,-0.0057496694,-0.08763537,-0.045487426,-0.074783795,-0.11969162
-0.05006469,0.08274361,0.22099766,-0.029087976,0.06545315,0.1900471,-0.088618554,-0.13511454,-0.06325364,0.03010806,-0.019328143,-0.04783949,-0.038127262,-0.028677026,-0.118965596,-0.10031925,-0.14437136,-0.15939398,0.0008025387,-0.0033863527,-0.0018725237,0.06809444,0.21377179,0.12469838,-0.007873558,0.0396064,0.024956902,-0.07539063,-0.07466512,0.04052643,-0.04969396,-0.036367256,0.043080326,0.08614782,-0.10788952,-0.07625555,-0.07924448,0.11329075,-0.20226191,0.008445493,-0.010180049,-0.084211856,0.0015525945,0.14813212,0.11924299,-0.17361912,0.17806123,0.014864709,0.017603649,0.019296074,-0.11847547,-0.045991164,-0.120379545,0.0590616,-0.05250581,0.03173183,-0.08850372,0.21515565,0.15885107,0.17304145,0.05762292,-0.03988891,-0.008257271,0.052169524,-0.07639243,0.076063275,-0.0021905943,0.010241604,-0.19375758,0.010994911,0.0022251862,0.0067733247,0.23388101,-0.034009367,0.09589916,-0.062638626,-0.0130131105,0.01334288,0.08566165,0.107387155,0.021030312,-0.13456967,0.073915996,0.012316853,-0.12996219,0.19801548,0.05835783,0.00879005,-0.044592198,-0.035966605,0.12686406,0.12659778,-0.079643406,-0.1628216,0.19902694,-0.0062149237,-0.08803434,-0.045616243,-0.0753831,-0.11947581
-0.047574632,0.08127151,0.22030823,-0.030349586,0.06760035,0.1918402,-0.08700956,-0.13638434,-0.06281091,0.030085733,-0.018714353,-0.049377043,-0.03816873,-0.025476016,-0.1167968,-0.09978571,-0.1426798,-0.15891369,0.0027643838,-0.0034481774,-0.003118584,0.06694254,0.21331684,0.12518196,-0.0060845665,0.039752368,0.02351342,-0.07527073,-0.075722836,0.04192792,-0.04799803,-0.03685448,0.043870255,0.08550356,-0.109294005,-0.07673556,-0.07884367,0.11344181,-0.20150055,0.009410091,-0.009886682,-0.08323532,0.0009933431,0.14810179,0.11976504,-0.1733775,0.17806871,0.014349326,0.017683726,0.019716015,-0.11805408,-0.047282323,-0.119389094,0.06148659,-0.05319978,0.030200912,-0.089113794,0.21435806,0.16015886,0.17297061,0.055759232,-0.0385896,-0.0071878745,0.05213643,-0.079298325,0.07440549,-0.003084196,0.009724465,-0.19538842,0.010820077,0.0017968544,0.009599739,0.2343965,-0.033264734,0.095085114,-0.061209586,-0.013526916,0.013030208,0.08748723,0.10959225,0.020656692,-0.13466157,0.07499812,0.013628215,-0.13077085,0.19739912,0.05629886,0.0094995815,-0.043745615,-0.035138734,0.12597512,0.12645158,-0.079477884,-0.16430381,0.19909117,-0.0064457366,-0.0851858,-0.045381717,-0.07639881,-0.119039476
-0.048932303,0.082301855,0.21940984,-0.029565249,0.0659472,0.1904748,-0.08764672,-0.13470428,-0.063544,0.03169751,-0.018850137,-0.04810607,-0.038158167,-0.026447106,-0.11735242,-0.099589095,-0.14427319,-0.15818182,0.0012930796,-0.003673153,-0.002810799,0.069224514,0.21425545,0.12548554,-0.007170053,0.040038764,0.02499811,-0.07727403,-0.07497871,0.03992794,-0.04994719,-0.037475206,0.044326134,0.086145274,-0.108095475,-0.07617359,-0.08008958,0.112398885,-0.20265245,0.0074252845,-0.010733082,-0.08252433,0.0016517875,0.14924292,0.119139746,-0.17246042,0.17760019,0.014275174,0.017230304,0.018721912,-0.118559904,-0.047563445,-0.120038606,0.05920067,-0.052892487,0.030985113,-0.08894873,0.21515258,0.15858948,0.1737029,0.058304694,-0.03831355,-0.0084172515,0.05303391,-0.07636812,0.07546649,-0.004660771,0.010087662,-0.19494928,0.010108799,0.0024841405,0.007214624,0.2352058,-0.03427667,0.09557324,-0.06164243,-0.013682946,0.013570956,0.086995825,0.10953038,0.02124153,-0.13469285,0.074203774,0.012895628,-0.13149054,0.19845861,0.057174798,0.010238685,-0.043899868,-0.036237355,0.12573291,0.12719104,-0.07967946,-0.1635055,0.19945176,-0.0052959365,-0.087845296,-0.045455437,-0.07566403,-0.120107904
-0.04473388,0.08199742,0.21424808,-0.02722701,0.06703705,0.18272157,-0.082652755,-0.13184984,-0.057506092,0.03028313,-0.015974155,-0.045111664,-0.032285217,-0.025554374,-0.120201975,-0.100506485,-0.14107978,-0.1517003,0.0041664857,-0.009958087,-0.0013993122,0.06927507,0.20803203,0.12296007,-0.0028116954,0.03885783,0.025122542,-0.07550288,-0.0691372,0.04328828,-0.0490923,-0.03832976,0.043615796,0.08811695,-0.10311192,-0.07622744,-0.076949954,0.11146061,-0.19692107,0.011051918,-0.012304271,-0.07841278,0.0037561415,0.14648172,0.11677172,-0.1683913,0.17205682,0.014554516,0.012746735,0.020382393,-0.11686477,-0.04687025,-0.118879445,0.060813565,-0.04885381,0.030444507,-0.08996442,0.2089141,0.15343356,0.16890769,0.056921646,-0.035563216,-0.01136634,0.04988203,-0.07449392,0.07099796,-0.0034398774,0.01183009,-0.18619089,0.0068388307,0.009970727,0.0034261937,0.23139378,-0.0375312,0.09450411,-0.059903245,-0.016648583,0.016159598,0.08907213,0.10329785,0.01888279,-0.13334048,0.06692322,0.013575047,-0.1317842,0.19118223,0.05572207,0.0075087305,-0.040906552,-0.03464463,0.119627036,0.12530465,-0.07987353,-0.1643389,0.19205809,-0.0089392355,-0.079962775,-0.0379144,-0.07377873,-0.113890775
