dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99
0.023255557,0.023853209,0.23824474,-0.010952518,0.053008888,0.1647738,-0.115097396,-0.10554425,-0.027402025,0.07078608,-0.012510649,0.06550657,-0.06489043,0.000950085,-0.13150655,-0.13306059,-0.08784955,-0.16661677,0.01785988,0.010699658,0.040803123,0.0054328563,0.16247955,0.0780956,0.06636311,0.13137281,0.0969308,-0.025744637,-0.17693837,0.035303295,-0.035384547,-0.014075355,0.08454827,-0.0013941657,-0.1068497,-0.066470936,-0.07370058,0.19353135,-0.13004139,-0.028326083,0.030711189,-0.026443921,-0.075103864,0.11690233,0.12214976,-0.21475305,0.16923016,0.13293868,0.06984886,-0.033160318,-0.12571763,-0.045159053,-0.1315686,-0.06338781,0.045473415,0.021842742,-0.10844025,0.108049996,0.062029056,0.1895367,0.0143888965,0.02069163,-0.040386796,0.048366368,-0.07532151,0.14407383,0.05684755,0.015805248,-0.20466845,-0.075968586,0.001832891,0.030009123,0.20640302,-0.05467062,0.13240212,-0.006482358,-0.04763608,-0.05053569,0.10247138,0.0070135742,0.124549925,-0.07115765,0.09020045,-0.08028867,-0.1335943,0.19319089,0.09558025,0.10781486,0.029492363,-0.055072065,0.011810778,0.11074787,-0.15503676,-0.11693849,0.11436917,-0.04244989,-0.14359163,-0.027642509,0.028727414,-0.12447032
0.023926351,0.024119854,0.2377227,-0.009745024,0.052794944,0.16465037,-0.11482189,-0.10435103,-0.0274702,0.06935699,-0.013589821,0.06472694,-0.063584015,0.0012434609,-0.1310354,-0.13444915,-0.086791694,-0.16675055,0.018135538,0.011235669,0.03992972,0.004952406,0.16222107,0.07957281,0.06545387,0.13160273,0.09648728,-0.025829824,-0.17724688,0.03434846,-0.035870682,-0.013836035,0.08345158,-0.0017938897,-0.105856575,-0.06703068,-0.073842645,0.19368805,-0.1298467,-0.026739523,0.031214384,-0.026306637,-0.07561579,0.116448924,0.121017754,-0.21586181,0.16960324,0.13316312,0.070951834,-0.033427678,-0.1257114,-0.04484485,-0.13161169,-0.06441415,0.046917047,0.021528052,-0.10974949,0.109240435,0.062202074,0.18949421,0.01414967,0.021391507,-0.039498106,0.04807982,-0.075243056,0.14416479,0.058265954,0.015153509,-0.203945,-0.07683025,0.002281666,0.02955113,0.20534274,-0.05411556,0.13194264,-0.0072397306,-0.048226066,-0.050261553,0.10138454,0.0072913975,0.12481057,-0.07141747,0.09174064,-0.07988143,-0.1341066,0.19357239,0.095294386,0.10816137,0.030169612,-0.054784283,0.012317877,0.109773375,-0.15516512,-0.114329666,0.1133804,-0.043059103,-0.14388634,-0.028141467,0.029280767,-0.124793544
0.024132883,0.02380263,0.23738597,-0.0105323335,0.05219769,0.16482905,-0.11460514,-0.1044547,-0.027593462,0.07056366,-0.013555844,0.0650046,-0.064125165,0.00090460235,-0.13082597,-0.1339507,-0.08746455,-0.16685389,0.018656362,0.01144166,0.04013912,0.004819825,0.16230462,0.079331614,0.06631198,0.13145122,0.096663944,-0.025526047,-0.1773316,0.035138246,-0.036136065,-0.013246735,0.08428007,-0.0024696437,-0.10643397,-0.066415265,-0.07352235,0.19299081,-0.1299143,-0.028290212,0.031455163,-0.025959926,-0.07588467,0.11635539,0.120577924,-0.215535,0.17032827,0.13318041,0.07069368,-0.032824025,-0.12510034,-0.04559827,-0.13173483,-0.06419419,0.046073865,0.021376746,-0.10985974,0.108053476,0.061707214,0.18928713,0.014064312,0.02083335,-0.039691202,0.047737133,-0.075960964,0.1442238,0.056772336,0.015421485,-0.20432809,-0.077533506,0.0014280846,0.02864882,0.20658758,-0.054358963,0.13271298,-0.0073519,-0.047843322,-0.051378474,0.1010893,0.0073370235,0.12463094,-0.07113722,0.09124078,-0.07944153,-0.13395402,0.19407429,0.09524545,0.10817661,0.029980749,-0.054716818,0.011617694,0.11076972,-0.15533026,-0.11583625,0.11359841,-0.04243211,-0.14269483,-0.026891356,0.029267801,-0.125047
0.023934942,0.02332813,0.23805381,-0.010612824,0.052376773,0.16471477,-0.11418478,-0.1053611,-0.027459672,0.070276,-0.013667275,0.065446824,-0.06448249,0.0007768679,-0.13039951,-0.13386051,-0.087673545,-0.16605821,0.018754782,0.011528306,0.04050858,0.0047986847,0.16253091,0.0789201,0.065623306,0.1319032,0.096921764,-0.02568859,-0.17773195,0.035465587,-0.036327012,-0.013445987,0.08503791,-0.0022562386,-0.10676597,-0.067068845,-0.07300864,0.1931483,-0.12981668,-0.027444473,0.030884232,-0.026086109,-0.07567842,0.11641321,0.12142544,-0.21546496,0.16983898,0.13313194,0.070496514,-0.032390226,-0.12593248,-0.045009557,-0.13140601,-0.06410862,0.04629082,0.021901507,-0.1094042,0.10849753,0.062394276,0.18953441,0.013859886,0.02080695,-0.040470593,0.047724027,-0.07549157,0.14444576,0.057959024,0.015356806,-0.20476738,-0.07713726,0.001700599,0.029605582,0.20606141,-0.05406682,0.1325273,-0.007071975,-0.047933437,-0.051328067,0.10080347,0.006564149,0.12413705,-0.07114037,0.09117455,-0.07946592,-0.13385476,0.19350755,0.09492976,0.10820134,0.030209413,-0.054557405,0.012500024,0.11017897,-0.15525353,-0.11557555,0.113931775,-0.042829502,-0.14332983,-0.027245559,0.028898513,-0.124457456
0.023272494,0.024583941,0.23882268,-0.009663433,0.051831625,0.16625255,-0.11497969,-0.10559268,-0.026865553,0.07022974,-0.012174193,0.06443222,-0.06343199,0.0017087309,-0.13151802,-0.1334903,-0.08746842,-0.16684736,0.017662393,0.011527501,0.04016052,0.0052633854,0.16330826,0.079195015,0.0665384,0.13212213,0.096518196,-0.026000712,-0.1775874,0.035660017,-0.035136316,-0.0128666125,0.084544145,-0.0020303412,-0.106496535,-0.067642644,-0.07295512,0.19285351,-0.12916712,-0.027855452,0.030661043,-0.025778953,-0.075488344,0.116433024,0.121827155,-0.21462989,0.16975573,0.13349771,0.07291609,-0.032598346,-0.12560466,-0.04545385,-0.13147779,-0.06343091,0.045122612,0.02343186,-0.10908047,0.108642146,0.06253675,0.1892942,0.015382954,0.020874228,-0.03998798,0.048255,-0.075958,0.14502238,0.058861647,0.015545456,-0.20484638,-0.07565068,0.001824243,0.02947228,0.20640972,-0.05359866,0.13252,-0.008343988,-0.0471893,-0.050692916,0.10162903,0.008238756,0.12283743,-0.07121418,0.09190612,-0.07943143,-0.13374673,0.1924262,0.09558027,0.10692158,0.029526345,-0.053243976,0.013380774,0.10974184,-0.15416011,-0.11615438,0.112900116,-0.043192867,-0.14255582,-0.02652879,0.028940415,-0.12448174
0.02452264,0.023858666,0.237831,-0.010023399,0.052019913,0.16523787,-0.11517445,-0.10550152,-0.026932808,0.06990389,-0.013916307,0.06495362,-0.06467185,0.0008716305,-0.1307997,-0.13316575,-0.08718322,-0.16682732,0.018794177,0.010648645,0.040293828,0.005819376,0.1625287,0.078298,0.06572342,0.13151154,0.09648107,-0.025708336,-0.17686632,0.03581715,-0.035257448,-0.013533945,0.08432632,-0.003006036,-0.10607517,-0.06732613,-0.074083716,0.19296098,-0.1298908,-0.027837373,0.031909406,-0.02526493,-0.07516202,0.11634391,0.12132266,-0.21555258,0.16936323,0.13310553,0.070563756,-0.032442156,-0.12572882,-0.04444671,-0.13191436,-0.064030565,0.04621009,0.021358432,-0.10956101,0.10876819,0.063064426,0.18985564,0.013635553,0.020038739,-0.0396234,0.047138035,-0.07545488,0.14534876,0.05795808,0.0150054945,-0.20350553,-0.07698329,0.0020966264,0.030229107,0.20626761,-0.053745013,0.13308877,-0.008235347,-0.04757444,-0.051204514,0.10121191,0.0067321616,0.12377838,-0.07145141,0.08976367,-0.07909508,-0.13420169,0.19431952,0.095724344,0.107847296,0.030208513,-0.05496396,0.012439536,0.11000568,-0.15624711,-0.11493673,0.11371535,-0.04304311,-0.1433248,-0.027054999,0.029742897,-0.124783516
0.022864955,0.024194133,0.23872995,-0.009900268,0.051755797,0.16422379,-0.11503717,-0.104737975,-0.027653737,0.06878093,-0.014194165,0.065327644,-0.06418546,-0.0012956142,-0.13280743,-0.13420427,-0.087089226,-0.16743569,0.017995993,0.012551825,0.04044397,0.0044608186,0.16243203,0.078840874,0.065765254,0.13133001,0.09651279,-0.024674144,-0.17594114,0.034861088,-0.035968665,-0.0132742375,0.08299988,-0.0022717859,-0.10569538,-0.06642091,-0.072779484,0.19356288,-0.130011,-0.027054105,0.032110605,-0.027165737,-0.075696364,0.116044655,0.12048286,-0.21600886,0.17046762,0.13330188,0.07120527,-0.03217873,-0.124812566,-0.04440314,-0.13129637,-0.06443416,0.0463634,0.021957109,-0.10907238,0.10835454,0.06233999,0.18884858,0.014189483,0.019535057,-0.040065747,0.047571447,-0.075282715,0.14477079,0.059385866,0.015097417,-0.20349512,-0.076696835,0.0009876627,0.028529413,0.20545906,-0.054301802,0.13299952,-0.007829536,-0.047336165,-0.051240906,0.1002832,0.005433562,0.12408505,-0.07159847,0.09119477,-0.07998419,-0.13272488,0.19377159,0.09618679,0.10652444,0.029868724,-0.054327346,0.012976977,0.110603526,-0.15533456,-0.114675134,0.11352691,-0.043658715,-0.14361452,-0.027347246,0.028938845,-0.12480119
0.025449129,0.022672836,0.23788267,-0.010968319,0.05379072,0.16577993,-0.11362979,-0.10579526,-0.027210463,0.06880137,-0.013622018,0.064086854,-0.064205214,0.0017997687,-0.13080293,-0.13374247,-0.08508908,-0.16716962,0.019912036,0.012463741,0.03954707,0.0032580832,0.16169901,0.07873894,0.067680575,0.1316328,0.0954376,-0.02453933,-0.17733346,0.03623458,-0.034459732,-0.013699351,0.083812036,-0.002959457,-0.10704469,-0.06683441,-0.07240869,0.19401509,-0.12911534,-0.026221013,0.032548115,-0.026259096,-0.07636405,0.116002776,0.12095014,-0.21618327,0.17060621,0.13320127,0.07128839,-0.032069102,-0.12452987,-0.045682516,-0.13054082,-0.06253822,0.04617764,0.020443795,-0.1097416,0.10740994,0.06336685,0.18884087,0.012104174,0.020960322,-0.039332427,0.047614504,-0.07788415,0.14351283,0.058695108,0.014738066,-0.20500267,-0.07705809,0.0006510395,0.031205235,0.2057341,-0.053527724,0.13227028,-0.0064054974,-0.048067242,-0.05162477,0.10211677,0.007271049,0.12403448,-0.071409866,0.09222056,-0.07927794,-0.13329843,0.19309564,0.094254404,0.10740479,0.031061536,-0.053764384,0.01172847,0.11020383,-0.15521234,-0.11598671,0.11309372,-0.043896053,-0.14112626,-0.027125092,0.0282075,-0.12432814
0.024120197,0.0238134,0.23712991,-0.010227179,0.052249845,0.16463153,-0.11405351,-0.10416753,-0.027874552,0.07063435,-0.013789905,0.06503251,-0.06433713,0.00060249376,-0.13107632,-0.13331993,-0.08670222,-0.16621943,0.018128326,0.012001912,0.039718732,0.005548173,0.16291113,0.0795856,0.06653466,0.13184553,0.09684035,-0.02631659,-0.1767935,0.034512367,-0.036517877,-0.014116003,0.08421565,-0.0024961338,-0.10623138,-0.06642746,-0.07354943,0.19288768,-0.13054898,-0.028120024,0.031607985,-0.025849389,-0.0754769,0.11713731,0.120203674,-0.21515276,0.17018235,0.13298301,0.070750766,-0.03278017,-0.1249364,-0.045938462,-0.13088039,-0.06465508,0.046312332,0.020929227,-0.10948287,0.10807207,0.06183432,0.18917401,0.014702516,0.021072498,-0.04036347,0.04834995,-0.07523646,0.1442516,0.057020616,0.014904489,-0.20440891,-0.07760672,0.001531467,0.028959459,0.20679255,-0.054597717,0.13268124,-0.006999149,-0.048232608,-0.05105969,0.10173761,0.0073005655,0.12447762,-0.07174685,0.091339566,-0.07946442,-0.1340784,0.19422525,0.09500408,0.108052775,0.030905169,-0.054767054,0.011709557,0.11110237,-0.15551038,-0.115181476,0.1137011,-0.042532545,-0.14341132,-0.027410248,0.028611416,-0.12527747
0.026186718,0.02471121,0.23166414,-0.008298521,0.053724214,0.15747306,-0.10848568,-0.1019201,-0.022717338,0.06803544,-0.011077681,0.06531058,-0.057883594,0.00092340604,-0.13386945,-0.13338311,-0.0853821,-0.15963869,0.020918626,0.005658469,0.04005662,0.007106766,0.15813303,0.078021474,0.06895059,0.12806347,0.09462467,-0.026230155,-0.16783641,0.037727542,-0.03589734,-0.015786704,0.082770385,0.0020103515,-0.10106815,-0.06647351,-0.07092028,0.18996112,-0.12657905,-0.023443855,0.02906283,-0.022774775,-0.071284555,0.11523245,0.117966324,-0.21025698,0.16466945,0.13015807,0.06485661,-0.029540153,-0.12293414,-0.04506327,-0.12951745,-0.05974224,0.04767604,0.020619981,-0.10999617,0.1049381,0.059129264,0.18456139,0.014220857,0.022173183,-0.04243063,0.045496188,-0.07334012,0.13817619,0.056607477,0.016633073,-0.19566298,-0.07881362,0.00890581,0.024511669,0.20355417,-0.057331476,0.13073379,-0.0068130353,-0.050202217,-0.04675449,0.10328967,0.003804636,0.11971008,-0.07174512,0.08390035,-0.07633796,-0.13436034,0.18729772,0.092604294,0.10311191,0.03197352,-0.052826643,0.008780846,0.1094528,-0.15341008,-0.11718932,0.10868766,-0.04529412,-0.13427338,-0.020407882,0.02804077,-0.11896359
